Paper,Set,Question,Vajiram and Ravi,Study IQ,PW OnlyIAS,Insight IAS,IAS Baba
2,A,29,B,,B,,
2,A,30,C,,C,,
2,A,31,D,,D,,
2,A,32,A,,A,,
2,A,33,A,,B,,
2,A,34,C,,B,,
2,A,35,B,,B,,
2,A,36,B,,B,,
2,A,37,B,,B,,
2,A,38,B,,B,,
2,A,39,C,,C,,
2,A,40,B,,B,,
2,A,41,B,,B,,
2,A,42,C,,A,,
2,A,43,C,,C,,
2,A,44,B,,B,,
2,A,45,D,,D,,
2,A,46,C,,C,,
2,A,47,C,,C,,
2,A,48,D,,D,,
2,A,49,D,,A,,
2,A,50,C,,C,,
2,A,51,B,,B,,
2,A,52,C,,C,,
2,A,53,D,,D,,
2,A,54,D,,D,,
2,A,55,C,,C,,
2,A,56,A,,A,,
2,A,57,D,,D,,
2,A,58,B,,B,,
2,A,59,B,,B,,
2,A,60,C,,C,,
2,A,61,A,,A,,
2,A,62,C,,C,,
2,A,63,D,,C,,
2,A,64,C,,C,,
2,A,65,C,,C,,
2,A,66,C,,B,,
2,A,67,A,,A,,
2,A,68,D,,D,,
2,A,69,C,,D,,
2,A,70,C,,D,,
2,A,71,B,,B,,
2,A,72,D,,D,,
2,A,73,A,,D,,
2,A,74,B,,B,,
2,A,75,D,,D,,
2,A,76,C,,C,,
2,A,77,C,,C,,
2,A,78,A,,A,,
2,A,79,A,,A,,
2,A,80,B,,C,,
2,B,1,D,,D,,
2,B,2,A,,A,,
2,B,3,A,,B,,
2,B,4,C,,B,,
2,B,5,B,,B,,
2,B,6,B,,B,,
2,B,7,B,,B,,
2,B,8,B,,B,,
2,B,9,C,,C,,
2,B,10,B,,B,,
2,B,11,A,,A,,
2,B,12,C,,D,,
2,B,13,A,,A,,
2,B,14,D,,D,,
2,B,15,B,,C,,
2,B,16,D,,D,,
2,B,17,B,,B,,
2,B,18,C,,D,,
2,B,19,B,,B,,
2,B,20,C,,C,,
2,B,21,D,,D,,
2,B,22,D,,A,,
2,B,23,D,,D,,
2,B,24,A,,A,,
2,B,25,C,,C,,
2,B,26,C,,C,,
2,B,27,B,,B,,
2,B,28,C,,C,,
2,B,29,D,,D,,
2,B,30,C,,C,,
2,B,31,C,,C,,
2,B,32,D,,D,,
2,B,33,D,,D,,
2,B,34,C,,C,,
2,B,35,C,,C,,
2,B,36,A,,D,,
2,B,37,C,,C,,
2,B,38,B,,B,,
2,B,39,D,,D,,
2,B,40,A,,A,,
2,B,41,B,,B,,
2,B,42,D,,D,,
2,B,43,A,,D,,
2,B,44,B,,B,,
2,B,45,D,,D,,
2,B,46,C,,C,,
2,B,47,C,,C,,
2,B,48,A,,A,,
2,B,49,A,,A,,
2,B,50,B,,C,,
2,B,51,A,,A,,
2,B,52,C,,C,,
2,B,53,D,,C,,
2,B,54,C,,C,,
2,B,55,C,,C,,
2,B,56,C,,B,,
2,B,57,A,,A,,
2,B,58,D,,D,,
2,B,59,C,,D,,
2,B,60,C,,D,,
2,B,61,B,,B,,
2,B,62,C,,C,,
2,B,63,D,,D,,
2,B,64,D,,D,,
2,B,65,C,,C,,
2,B,66,D,,A,,
2,B,67,D,,D,,
2,B,68,B,,B,,
2,B,69,B,,B,,
2,B,70,C,,C,,
2,B,71,B,,B,,
2,B,72,C,,A,,
2,B,73,C,,C,,
2,B,74,B,,B,,
2,B,75,D,,D,,
2,B,76,C,,C,,
2,B,77,C,,C,,
2,B,78,B,,D,,
2,B,79,D,,A,,
2,B,80,C,,C,,
2,C,1,A,,A,,
2,C,2,C,,D,,
2,C,3,A,,A,,
2,C,4,D,,D,,
2,C,5,B,,C,,
